"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"cover_2050",0.0245896838707822,0.630196298823306,0.0091117807693284,0.0150624927405747,0.0245896838707822,0.370552985439359,0.612553330076445,0.0168936844841959,0.960980913539645,1
"richness_2050",0.0871670803102819,0.867951276197661,0.000820986719997005,0.087184387446967,0.088005374166964,0.00932882483334968,0.99067117516665,-1.11022302462516e-16,0.899571459019975,1
"temp_2050",0.0729673286701428,0.946016346185335,0.0016746187536481,0.0736246974681306,0.0752993162217787,0.0222394948277599,0.97776050517224,0,0.922868850031638,1
"cover_2100",0.0465133081475868,0.38849126437664,0.000809295752107694,0.0438510223454874,0.0465133081475868,0.0173992301201152,0.94276292295418,0.0398378469257048,0.880271932955248,1
"richness_2100",0.268919111584773,0.49079758078817,0.000382008674076659,0.278693789625833,0.27907579829991,0.00136883483413396,0.998631165165866,0,0.452077348969576,1
"temp_2100",0.33203454260422,0.635969134485983,0.0019951523637362,0.32790619413987,0.33203454260422,0.00600886988470471,0.987566509098811,0.00642462101648456,0.477907771620734,1
"cover_2050",0.0251940906935605,0.686498606032488,0.0088395312939273,0.0145470315496352,0.0251940906935605,0.350857326086654,0.57739855454888,0.0717441193644655,0.963300594535558,2
"richness_2050",0.0863050327896557,0.88449937773124,0.000606891790570472,0.0868064636481341,0.0874133554387046,0.00694278108333266,0.993057218916667,-1.11022302462516e-16,0.902424993207989,2
"temp_2050",0.0722065640498338,0.942324174208447,0.000970090601023645,0.0731593472269638,0.0741294378279874,0.0130864421672086,0.986913557832791,-1.11022302462516e-16,0.923373966172005,2
"cover_2100",0.0502304241662494,0.378918770377257,0.00221361424067588,0.0490972621468909,0.0513108763875667,0.0431412284591628,0.956858771540837,0,0.867437487680435,2
"richness_2100",0.271940724706434,0.496065767813219,9.01413719042392e-05,0.281829607898776,0.28191974927068,0.000319741246001506,0.999680258753999,-1.11022302462516e-16,0.451805098535189,2
"temp_2100",0.335930904426237,0.675183087231695,0.00243843386272912,0.331940973127698,0.335930904426237,0.00725873633714623,0.988122762014546,0.00461850164830802,0.502459539080606,2
"cover_2050",0.059315364998278,0.594197179273577,0.0447407256320547,0.0135626282096709,0.059315364998278,0.754285599243192,0.228652866083934,0.0170615346728745,0.900175620034426,3
"richness_2050",0.0896770008156453,0.841117143129295,0.00456296657235813,0.0876470824742374,0.0922100490465955,0.0494844826516942,0.950515517348306,-1.11022302462516e-16,0.893383458477602,3
"temp_2050",0.0766873464037553,0.929962217703266,0.00112521499469414,0.0767825211921343,0.0779077361868285,0.0144429173502846,0.985557082649716,-1.11022302462516e-16,0.917537137591299,3
"cover_2100",0.049299613567191,0.416306806162473,0.00490597621038195,0.0386842772174612,0.049299613567191,0.099513482061995,0.784677088081794,0.115809429856211,0.881578651039515,3
"richness_2100",0.271646706145501,0.504448621428258,0.000149533416463021,0.274058353388765,0.274207886805228,0.000545328649023271,0.999454671350977,0,0.461497772803142,3
"temp_2100",0.331932833274983,0.663978838998774,0.00237819343596366,0.327691595908355,0.331932833274983,0.0071646827236084,0.987222603667187,0.00561271360920501,0.500085222933444,3
"cover_2050",0.0271858462986606,0.636961805916915,0.012824284897822,0.0137408710918009,0.0271858462986606,0.471726528463961,0.505442094420946,0.0228313771150933,0.957319503232182,4
"richness_2050",0.0858244312110138,0.867573446333681,0.00126538576681176,0.0861505648132426,0.0874159505800544,0.0144754562344195,0.98552454376558,1.11022302462516e-16,0.901075313480716,4
"temp_2050",0.0730831007331319,0.943092147739728,0.00138006997304101,0.0736027687571709,0.0749828387302119,0.0184051443825233,0.981594855617477,0,0.922506935395139,4
"cover_2100",0.0430159021025805,0.372226156847122,0.000124598711775349,0.0423120794318573,0.0430159021025805,0.00289657325977302,0.983638081818096,0.0134653449221313,0.884436111457241,4
"richness_2100",0.269475754244531,0.513193259504525,0.000665908292240297,0.278026008818188,0.278691917110428,0.00238940655023174,0.997610593449768,-1.11022302462516e-16,0.474903948456565,4
"temp_2100",0.333395680169823,0.673113488776453,0.00233152488589314,0.331367187592503,0.333698712478396,0.00698691603745424,0.993013083962546,0,0.504696183141642,4
"cover_2050",0.0300256343491033,0.668396581050851,0.0104783998791496,0.0180819930397651,0.0300256343491033,0.348981798596455,0.602218518667372,0.0487996827361727,0.955078114998887,5
"richness_2050",0.088588790995187,0.877185282163183,0.00109046021839849,0.0887431174344586,0.0898335776528571,0.0121386707163366,0.987861329283663,0,0.899007891723032,5
"temp_2050",0.0710563472355085,0.946946681160361,0.00127680651933949,0.0716533905103995,0.072930197029739,0.0175072407773538,0.982492759222646,0,0.924962673559996,5
"cover_2100",0.0356943605901414,0.367936402057492,0.00181034578439391,0.0308671437876103,0.0356943605901414,0.0507179776990854,0.864762480046655,0.0845195422542595,0.902987689202429,5
"richness_2100",0.259389070139608,0.500013082609208,0.00111785446243767,0.269614247319877,0.270732101782314,0.00412900596227223,0.995870994037728,0,0.481235433308978,5
"temp_2100",0.336152389008106,0.657739313661704,0.00198155362415979,0.331533345237956,0.336152389008106,0.00589480750086834,0.986259077962293,0.00784611453683859,0.488927631318387,5
"cover_2050",0.0227385408940139,0.651076782411977,0.00594490519574998,0.0162280234863454,0.0227385408940139,0.261446203758616,0.713679191729385,0.0248746045119981,0.965075484937772,6
"richness_2050",0.0887192297745078,0.872399148365965,0.000510465455596868,0.0891650195668086,0.0896754850224054,0.00569236347558453,0.994307636524415,0,0.898304314096727,6
"temp_2050",0.0719207251734957,0.94855096202292,0.00107957081055984,0.0730686525267845,0.0741482233373444,0.0145596315322113,0.985440368467789,0,0.924178322459223,6
"cover_2100",0.0492894318284444,0.360151265689899,0.00506691670089068,0.0463817769490913,0.051448693649982,0.0984848465805983,0.901515153419402,1.11022302462516e-16,0.86314241674529,6
"richness_2100",0.268918202955057,0.488743649554351,0.00063531648373131,0.279323900525372,0.279959217009103,0.00226931797609168,0.997730682023908,1.11022302462516e-16,0.449776578784679,6
"temp_2100",0.330058712167286,0.659806962984127,0.00228055413999046,0.328504309174001,0.330784863313992,0.0068943727265588,0.993105627273441,0,0.499764733196327,6
"cover_2050",0.0556411079061769,0.575340839481872,0.044403449202608,0.00986480052104803,0.0556411079061769,0.798033160617182,0.177293387789514,0.0246734515933032,0.903290181944524,7
"richness_2050",0.087608366329412,0.831223268468656,0.00410216368904599,0.0864603077458286,0.0905624714348746,0.0452965077482006,0.954703492251799,0,0.894603087217697,7
"temp_2050",0.0744899344251411,0.925421722853509,0.000522022867362662,0.0747792531696955,0.0753012760370582,0.00693245712205139,0.993067542877949,1.11022302462516e-16,0.919507039238874,7
"cover_2100",0.0521009677440139,0.453533961265475,0.00792058972029401,0.0374622467799409,0.0521009677440139,0.152023850290267,0.719031687933379,0.128944461776354,0.885122235171455,7
"richness_2100",0.267371373677746,0.510332493996285,0.000888189405322263,0.273944902661506,0.274833092066828,0.00323174112201267,0.996768258877987,0,0.476083971091027,7
"temp_2100",0.329530691722927,0.686163125680891,0.00181977688022265,0.328413765093643,0.330233541973865,0.00551057554403928,0.994489424455961,0,0.519748760331695,7
"cover_2050",0.0261042181272043,0.667863290695294,0.0111923993277054,0.0142347097895813,0.0261042181272043,0.428758267080264,0.545303051032456,0.0259386818872797,0.960913829984535,8
"richness_2050",0.0847546457000913,0.872957438225592,0.00140920547089241,0.0846003956779307,0.0860096011488232,0.0163842809647966,0.983615719035203,1.11022302462516e-16,0.902910907234645,8
"temp_2050",0.0734512314344093,0.947225781601548,0.00151027956137354,0.0740573009718116,0.0755675805331851,0.0199858133701967,0.980014186629803,0,0.922456469343328,8
"cover_2100",0.0496897285452878,0.37351900947035,0.0096311757515134,0.0341007591412483,0.0496897285452878,0.193826290331521,0.686273806269005,0.119899903399475,0.86696867552806,8
"richness_2100",0.266229318034625,0.513853618238761,0.00227991724023163,0.269902170903417,0.272182088143649,0.00837644113828816,0.991623558861712,0,0.48189657796489,8
"temp_2100",0.33452614987674,0.653613188772877,0.00248844931266688,0.333154355089044,0.335642804401711,0.0074139808154165,0.992586019184583,0,0.488189412908276,8
"cover_2050",0.0221349141687324,0.649008137927185,0.00767631085856387,0.0140785883545648,0.0221349141687324,0.346796504384343,0.636035371415722,0.0171681241999351,0.965894242498365,9
"richness_2050",0.0852482457239072,0.881670195413324,0.000625258383278539,0.0859061023941205,0.086531360777399,0.00722580088491858,0.992774199115081,0,0.903310505257646,9
"temp_2050",0.0716114607145051,0.945106768241615,0.00100071836697958,0.0726363852488983,0.0736371036158779,0.0135898659485542,0.986410134051446,0,0.924229237245079,9
"cover_2100",0.0496836589550199,0.36152442086518,0.00602137040459837,0.0432501069131599,0.0496836589550199,0.1211941819754,0.870509697208805,0.00829612081579534,0.862571776379256,9
"richness_2100",0.267933663320678,0.508362276274346,0.000747163771838603,0.273856682216883,0.274603845988721,0.00272087875953963,0.99727912124046,-1.11022302462516e-16,0.472947392390534,9
"temp_2100",0.331485663860952,0.651976974561306,0.00250996504356226,0.332367918581241,0.334877883624803,0.00749516515212579,0.992504834847874,0,0.491568449815275,9
"cover_2050",0.021854546252679,0.638251004055908,0.00718466982188513,0.0143590555456864,0.021854546252679,0.328749439078581,0.657028307962524,0.0142222529588948,0.965758696635337,10
"richness_2050",0.085399654352254,0.863696825118097,0.000747978124759374,0.0862220678049685,0.0869700459297279,0.00860041082838731,0.991399589171613,0,0.901123111873687,10
"temp_2050",0.0720133586895143,0.941454049824311,0.00162934523358878,0.0726359704616049,0.0742653156951937,0.02193951804199,0.97806048195801,-1.11022302462516e-16,0.923508365912332,10
"cover_2100",0.0445656685583998,0.354796511756283,0.0027275091434817,0.046785264952517,0.0495127740959987,0.055086978931809,0.944913021068191,0,0.874390905542462,10
"richness_2100",0.26957716835421,0.499898279223029,0.00248085335843811,0.288354589232064,0.290835442590502,0.00853009294995439,0.991469907050046,0,0.460735954576193,10
"temp_2100",0.335342925847064,0.637706953082708,0.00239731044144154,0.3306876419961,0.335342925847064,0.0071488326028826,0.986117840896136,0.00673332650098124,0.474142591317219,10
